Client IP Address: 127.0.0.1, Port: 43870, Value: 1, Factorial: 1
Client IP Address: 127.0.0.1, Port: 43872, Value: 1, Factorial: 1
Client IP Address: 127.0.0.1, Port: 43876, Value: 1, Factorial: 1
Client IP Address: 127.0.0.1, Port: 43874, Value: 1, Factorial: 1
Client IP Address: 127.0.0.1, Port: 43872, Value: 2, Factorial: 2
Client IP Address: 127.0.0.1, Port: 43876, Value: 2, Factorial: 2
Client IP Address: 127.0.0.1, Port: 43878, Value: 1, Factorial: 1
Client IP Address: 127.0.0.1, Port: 43870, Value: 2, Factorial: 2
Client IP Address: 127.0.0.1, Port: 43872, Value: 3, Factorial: 6
Client IP Address: 127.0.0.1, Port: 43876, Value: 3, Factorial: 6
Client IP Address: 127.0.0.1, Port: 43878, Value: 2, Factorial: 2
Client IP Address: 127.0.0.1, Port: 43880, Value: 1, Factorial: 1
Client IP Address: 127.0.0.1, Port: 43874, Value: 2, Factorial: 2
Client IP Address: 127.0.0.1, Port: 43872, Value: 4, Factorial: 24
Client IP Address: 127.0.0.1, Port: 43876, Value: 4, Factorial: 24
Client IP Address: 127.0.0.1, Port: 43878, Value: 3, Factorial: 6
Client IP Address: 127.0.0.1, Port: 43880, Value: 2, Factorial: 2
Client IP Address: 127.0.0.1, Port: 43882, Value: 1, Factorial: 1
Client IP Address: 127.0.0.1, Port: 43870, Value: 3, Factorial: 6
Client IP Address: 127.0.0.1, Port: 43872, Value: 5, Factorial: 120
Client IP Address: 127.0.0.1, Port: 43876, Value: 5, Factorial: 120
Client IP Address: 127.0.0.1, Port: 43878, Value: 4, Factorial: 24
Client IP Address: 127.0.0.1, Port: 43880, Value: 3, Factorial: 6
Client IP Address: 127.0.0.1, Port: 43882, Value: 2, Factorial: 2
Client IP Address: 127.0.0.1, Port: 43884, Value: 1, Factorial: 1
Client IP Address: 127.0.0.1, Port: 43874, Value: 3, Factorial: 6
Client IP Address: 127.0.0.1, Port: 43872, Value: 6, Factorial: 720
Client IP Address: 127.0.0.1, Port: 43876, Value: 6, Factorial: 720
Client IP Address: 127.0.0.1, Port: 43878, Value: 5, Factorial: 120
Client IP Address: 127.0.0.1, Port: 43880, Value: 4, Factorial: 24
Client IP Address: 127.0.0.1, Port: 43882, Value: 3, Factorial: 6
Client IP Address: 127.0.0.1, Port: 43884, Value: 2, Factorial: 2
Client IP Address: 127.0.0.1, Port: 43886, Value: 1, Factorial: 1
Client IP Address: 127.0.0.1, Port: 43870, Value: 4, Factorial: 24
Client IP Address: 127.0.0.1, Port: 43872, Value: 7, Factorial: 5040
Client IP Address: 127.0.0.1, Port: 43876, Value: 7, Factorial: 5040
Client IP Address: 127.0.0.1, Port: 43878, Value: 6, Factorial: 720
Client IP Address: 127.0.0.1, Port: 43880, Value: 5, Factorial: 120
Client IP Address: 127.0.0.1, Port: 43882, Value: 4, Factorial: 24
Client IP Address: 127.0.0.1, Port: 43884, Value: 3, Factorial: 6
Client IP Address: 127.0.0.1, Port: 43886, Value: 2, Factorial: 2
Client IP Address: 127.0.0.1, Port: 43888, Value: 1, Factorial: 1
Client IP Address: 127.0.0.1, Port: 43874, Value: 4, Factorial: 24
Client IP Address: 127.0.0.1, Port: 43872, Value: 8, Factorial: 40320
Client IP Address: 127.0.0.1, Port: 43876, Value: 8, Factorial: 40320
Client IP Address: 127.0.0.1, Port: 43878, Value: 7, Factorial: 5040
Client IP Address: 127.0.0.1, Port: 43880, Value: 6, Factorial: 720
Client IP Address: 127.0.0.1, Port: 43882, Value: 5, Factorial: 120
Client IP Address: 127.0.0.1, Port: 43884, Value: 4, Factorial: 24
Client IP Address: 127.0.0.1, Port: 43886, Value: 3, Factorial: 6
Client IP Address: 127.0.0.1, Port: 43888, Value: 2, Factorial: 2
Client IP Address: 127.0.0.1, Port: 43870, Value: 5, Factorial: 120
Client IP Address: 127.0.0.1, Port: 43872, Value: 9, Factorial: 362880
Client IP Address: 127.0.0.1, Port: 43876, Value: 9, Factorial: 362880
Client IP Address: 127.0.0.1, Port: 43878, Value: 8, Factorial: 40320
Client IP Address: 127.0.0.1, Port: 43880, Value: 7, Factorial: 5040
Client IP Address: 127.0.0.1, Port: 43882, Value: 6, Factorial: 720
Client IP Address: 127.0.0.1, Port: 43884, Value: 5, Factorial: 120
Client IP Address: 127.0.0.1, Port: 43886, Value: 4, Factorial: 24
Client IP Address: 127.0.0.1, Port: 43888, Value: 3, Factorial: 6
Client IP Address: 127.0.0.1, Port: 43874, Value: 5, Factorial: 120
Client IP Address: 127.0.0.1, Port: 43872, Value: 10, Factorial: 3628800
Client IP Address: 127.0.0.1, Port: 43876, Value: 10, Factorial: 3628800
Client IP Address: 127.0.0.1, Port: 43878, Value: 9, Factorial: 362880
Client IP Address: 127.0.0.1, Port: 43880, Value: 8, Factorial: 40320
Client IP Address: 127.0.0.1, Port: 43882, Value: 7, Factorial: 5040
Client IP Address: 127.0.0.1, Port: 43884, Value: 6, Factorial: 720
Client IP Address: 127.0.0.1, Port: 43886, Value: 5, Factorial: 120
Client IP Address: 127.0.0.1, Port: 43888, Value: 4, Factorial: 24
Client IP Address: 127.0.0.1, Port: 43870, Value: 6, Factorial: 720
