Client IP Address: 127.0.0.1, Port: 40780, Value: 1, Factorial: 1
Client IP Address: 127.0.0.1, Port: 40774, Value: 1, Factorial: 1
Client IP Address: 127.0.0.1, Port: 40782, Value: 1, Factorial: 1
Client IP Address: 127.0.0.1, Port: 40778, Value: 1, Factorial: 1
Client IP Address: 127.0.0.1, Port: 40776, Value: 1, Factorial: 1
Client IP Address: 127.0.0.1, Port: 40774, Value: 2, Factorial: 2
Client IP Address: 127.0.0.1, Port: 40782, Value: 2, Factorial: 2
Client IP Address: 127.0.0.1, Port: 40778, Value: 2, Factorial: 2
Client IP Address: 127.0.0.1, Port: 40780, Value: 2, Factorial: 2
Client IP Address: 127.0.0.1, Port: 40784, Value: 1, Factorial: 1
Client IP Address: 127.0.0.1, Port: 40774, Value: 3, Factorial: 6
Client IP Address: 127.0.0.1, Port: 40782, Value: 3, Factorial: 6
Client IP Address: 127.0.0.1, Port: 40778, Value: 3, Factorial: 6
Client IP Address: 127.0.0.1, Port: 40780, Value: 3, Factorial: 6
Client IP Address: 127.0.0.1, Port: 40776, Value: 2, Factorial: 2
Client IP Address: 127.0.0.1, Port: 40788, Value: 1, Factorial: 1
Client IP Address: 127.0.0.1, Port: 40774, Value: 4, Factorial: 24
Client IP Address: 127.0.0.1, Port: 40782, Value: 4, Factorial: 24
Client IP Address: 127.0.0.1, Port: 40778, Value: 4, Factorial: 24
Client IP Address: 127.0.0.1, Port: 40780, Value: 4, Factorial: 24
Client IP Address: 127.0.0.1, Port: 40776, Value: 3, Factorial: 6
Client IP Address: 127.0.0.1, Port: 40786, Value: 1, Factorial: 1
Client IP Address: 127.0.0.1, Port: 40784, Value: 2, Factorial: 2
Client IP Address: 127.0.0.1, Port: 40774, Value: 5, Factorial: 120
Client IP Address: 127.0.0.1, Port: 40782, Value: 5, Factorial: 120
Client IP Address: 127.0.0.1, Port: 40778, Value: 5, Factorial: 120
Client IP Address: 127.0.0.1, Port: 40780, Value: 5, Factorial: 120
Client IP Address: 127.0.0.1, Port: 40776, Value: 4, Factorial: 24
