Client IP Address: 127.0.0.1, Port: 43814, Value: 1, Factorial: 1
Client IP Address: 127.0.0.1, Port: 43814, Value: 1, Factorial: 1
Client IP Address: 127.0.0.1, Port: 43816, Value: 2, Factorial: 2
Client IP Address: 127.0.0.1, Port: 43816, Value: 1, Factorial: 1
Client IP Address: 127.0.0.1, Port: 43816, Value: 1, Factorial: 1
Client IP Address: 127.0.0.1, Port: 43818, Value: 3, Factorial: 6
Client IP Address: 127.0.0.1, Port: 43818, Value: 2, Factorial: 2
Client IP Address: 127.0.0.1, Port: 43818, Value: 2, Factorial: 2
Client IP Address: 127.0.0.1, Port: 43820, Value: 4, Factorial: 24
Client IP Address: 127.0.0.1, Port: 43820, Value: 3, Factorial: 6
Client IP Address: 127.0.0.1, Port: 43820, Value: 2, Factorial: 2
Client IP Address: 127.0.0.1, Port: 43810, Value: 1, Factorial: 1
Client IP Address: 127.0.0.1, Port: 43822, Value: 5, Factorial: 120
Client IP Address: 127.0.0.1, Port: 43822, Value: 4, Factorial: 24
Client IP Address: 127.0.0.1, Port: 43822, Value: 3, Factorial: 6
Client IP Address: 127.0.0.1, Port: 43822, Value: 3, Factorial: 6
Client IP Address: 127.0.0.1, Port: 43812, Value: 1, Factorial: 1
Client IP Address: 127.0.0.1, Port: 43824, Value: 6, Factorial: 720
Client IP Address: 127.0.0.1, Port: 43824, Value: 5, Factorial: 120
Client IP Address: 127.0.0.1, Port: 43824, Value: 4, Factorial: 24
Client IP Address: 127.0.0.1, Port: 43824, Value: 4, Factorial: 24
Client IP Address: 127.0.0.1, Port: 43810, Value: 2, Factorial: 2
Client IP Address: 127.0.0.1, Port: 43814, Value: 1, Factorial: 1
Client IP Address: 127.0.0.1, Port: 43826, Value: 7, Factorial: 5040
Client IP Address: 127.0.0.1, Port: 43826, Value: 6, Factorial: 720
Client IP Address: 127.0.0.1, Port: 43826, Value: 5, Factorial: 120
Client IP Address: 127.0.0.1, Port: 43826, Value: 5, Factorial: 120
Client IP Address: 127.0.0.1, Port: 43810, Value: 3, Factorial: 6
Client IP Address: 127.0.0.1, Port: 43812, Value: 2, Factorial: 2
Client IP Address: 127.0.0.1, Port: 43816, Value: 1, Factorial: 1
