Client IP Address: 127.0.0.1, Port: 42066, Value: 1, Factorial: 1
Client IP Address: 127.0.0.1, Port: 42064, Value: 1, Factorial: 1
Client IP Address: 127.0.0.1, Port: 42062, Value: 1, Factorial: 1
Client IP Address: 127.0.0.1, Port: 42068, Value: 1, Factorial: 1
Client IP Address: 127.0.0.1, Port: 42070, Value: 1, Factorial: 1
Client IP Address: 127.0.0.1, Port: 42064, Value: 2, Factorial: 2
Client IP Address: 127.0.0.1, Port: 42066, Value: 2, Factorial: 2
Client IP Address: 127.0.0.1, Port: 42062, Value: 2, Factorial: 2
Client IP Address: 127.0.0.1, Port: 42068, Value: 2, Factorial: 2
Client IP Address: 127.0.0.1, Port: 42072, Value: 1, Factorial: 1
Client IP Address: 127.0.0.1, Port: 42064, Value: 3, Factorial: 6
Client IP Address: 127.0.0.1, Port: 42066, Value: 3, Factorial: 6
Client IP Address: 127.0.0.1, Port: 42062, Value: 3, Factorial: 6
Client IP Address: 127.0.0.1, Port: 42068, Value: 3, Factorial: 6
Client IP Address: 127.0.0.1, Port: 42070, Value: 2, Factorial: 2
Client IP Address: 127.0.0.1, Port: 42074, Value: 1, Factorial: 1
Client IP Address: 127.0.0.1, Port: 42064, Value: 4, Factorial: 24
Client IP Address: 127.0.0.1, Port: 42066, Value: 4, Factorial: 24
Client IP Address: 127.0.0.1, Port: 42062, Value: 4, Factorial: 24
Client IP Address: 127.0.0.1, Port: 42068, Value: 4, Factorial: 24
Client IP Address: 127.0.0.1, Port: 42070, Value: 3, Factorial: 6
Client IP Address: 127.0.0.1, Port: 42072, Value: 2, Factorial: 2
Client IP Address: 127.0.0.1, Port: 42076, Value: 1, Factorial: 1
Client IP Address: 127.0.0.1, Port: 42064, Value: 5, Factorial: 120
Client IP Address: 127.0.0.1, Port: 42066, Value: 5, Factorial: 120
Client IP Address: 127.0.0.1, Port: 42062, Value: 5, Factorial: 120
Client IP Address: 127.0.0.1, Port: 42068, Value: 5, Factorial: 120
Client IP Address: 127.0.0.1, Port: 42070, Value: 4, Factorial: 24
Client IP Address: 127.0.0.1, Port: 42072, Value: 3, Factorial: 6
Client IP Address: 127.0.0.1, Port: 42074, Value: 2, Factorial: 2
Client IP Address: 127.0.0.1, Port: 42078, Value: 1, Factorial: 1
Client IP Address: 127.0.0.1, Port: 42064, Value: 6, Factorial: 720
Client IP Address: 127.0.0.1, Port: 42066, Value: 6, Factorial: 720
Client IP Address: 127.0.0.1, Port: 42062, Value: 6, Factorial: 720
Client IP Address: 127.0.0.1, Port: 42068, Value: 6, Factorial: 720
Client IP Address: 127.0.0.1, Port: 42070, Value: 5, Factorial: 120
Client IP Address: 127.0.0.1, Port: 42072, Value: 4, Factorial: 24
Client IP Address: 127.0.0.1, Port: 42074, Value: 3, Factorial: 6
Client IP Address: 127.0.0.1, Port: 42076, Value: 2, Factorial: 2
Client IP Address: 127.0.0.1, Port: 42080, Value: 1, Factorial: 1
Client IP Address: 127.0.0.1, Port: 42064, Value: 7, Factorial: 5040
Client IP Address: 127.0.0.1, Port: 42066, Value: 7, Factorial: 5040
Client IP Address: 127.0.0.1, Port: 42062, Value: 7, Factorial: 5040
Client IP Address: 127.0.0.1, Port: 42068, Value: 7, Factorial: 5040
Client IP Address: 127.0.0.1, Port: 42070, Value: 6, Factorial: 720
Client IP Address: 127.0.0.1, Port: 42072, Value: 5, Factorial: 120
Client IP Address: 127.0.0.1, Port: 42074, Value: 4, Factorial: 24
Client IP Address: 127.0.0.1, Port: 42076, Value: 3, Factorial: 6
Client IP Address: 127.0.0.1, Port: 42078, Value: 2, Factorial: 2
Client IP Address: 127.0.0.1, Port: 42064, Value: 8, Factorial: 40320
Client IP Address: 127.0.0.1, Port: 42066, Value: 8, Factorial: 40320
Client IP Address: 127.0.0.1, Port: 42062, Value: 8, Factorial: 40320
Client IP Address: 127.0.0.1, Port: 42068, Value: 8, Factorial: 40320
Client IP Address: 127.0.0.1, Port: 42070, Value: 7, Factorial: 5040
Client IP Address: 127.0.0.1, Port: 42072, Value: 6, Factorial: 720
Client IP Address: 127.0.0.1, Port: 42074, Value: 5, Factorial: 120
Client IP Address: 127.0.0.1, Port: 42076, Value: 4, Factorial: 24
Client IP Address: 127.0.0.1, Port: 42080, Value: 2, Factorial: 2
Client IP Address: 127.0.0.1, Port: 42064, Value: 9, Factorial: 362880
Client IP Address: 127.0.0.1, Port: 42066, Value: 9, Factorial: 362880
Client IP Address: 127.0.0.1, Port: 42062, Value: 9, Factorial: 362880
Client IP Address: 127.0.0.1, Port: 42068, Value: 9, Factorial: 362880
Client IP Address: 127.0.0.1, Port: 42070, Value: 8, Factorial: 40320
Client IP Address: 127.0.0.1, Port: 42072, Value: 7, Factorial: 5040
Client IP Address: 127.0.0.1, Port: 42074, Value: 6, Factorial: 720
Client IP Address: 127.0.0.1, Port: 42076, Value: 5, Factorial: 120
Client IP Address: 127.0.0.1, Port: 42078, Value: 3, Factorial: 6
Client IP Address: 127.0.0.1, Port: 42064, Value: 10, Factorial: 3628800
Client IP Address: 127.0.0.1, Port: 42066, Value: 10, Factorial: 3628800
Client IP Address: 127.0.0.1, Port: 42062, Value: 10, Factorial: 3628800
Client IP Address: 127.0.0.1, Port: 42068, Value: 10, Factorial: 3628800
Client IP Address: 127.0.0.1, Port: 42070, Value: 9, Factorial: 362880
Client IP Address: 127.0.0.1, Port: 42072, Value: 8, Factorial: 40320
Client IP Address: 127.0.0.1, Port: 42074, Value: 7, Factorial: 5040
Client IP Address: 127.0.0.1, Port: 42076, Value: 6, Factorial: 720
