Client IP Address: 127.0.0.1, Port: 43522, Value: 1, Factorial: 1
Client IP Address: 127.0.0.1, Port: 43520, Value: 1, Factorial: 1
Client IP Address: 127.0.0.1, Port: 43524, Value: 1, Factorial: 1
Client IP Address: 127.0.0.1, Port: 43526, Value: 1, Factorial: 1
Client IP Address: 127.0.0.1, Port: 43522, Value: 2, Factorial: 2
Client IP Address: 127.0.0.1, Port: 43520, Value: 2, Factorial: 2
Client IP Address: 127.0.0.1, Port: 43524, Value: 2, Factorial: 2
Client IP Address: 127.0.0.1, Port: 43528, Value: 1, Factorial: 1
Client IP Address: 127.0.0.1, Port: 43522, Value: 3, Factorial: 6
Client IP Address: 127.0.0.1, Port: 43520, Value: 3, Factorial: 6
Client IP Address: 127.0.0.1, Port: 43524, Value: 3, Factorial: 6
Client IP Address: 127.0.0.1, Port: 43526, Value: 2, Factorial: 2
Client IP Address: 127.0.0.1, Port: 43530, Value: 1, Factorial: 1
Client IP Address: 127.0.0.1, Port: 43522, Value: 4, Factorial: 24
Client IP Address: 127.0.0.1, Port: 43520, Value: 4, Factorial: 24
Client IP Address: 127.0.0.1, Port: 43524, Value: 4, Factorial: 24
Client IP Address: 127.0.0.1, Port: 43526, Value: 3, Factorial: 6
Client IP Address: 127.0.0.1, Port: 43528, Value: 2, Factorial: 2
Client IP Address: 127.0.0.1, Port: 43532, Value: 1, Factorial: 1
Client IP Address: 127.0.0.1, Port: 43522, Value: 5, Factorial: 120
Client IP Address: 127.0.0.1, Port: 43520, Value: 5, Factorial: 120
Client IP Address: 127.0.0.1, Port: 43524, Value: 5, Factorial: 120
Client IP Address: 127.0.0.1, Port: 43526, Value: 4, Factorial: 24
Client IP Address: 127.0.0.1, Port: 43528, Value: 3, Factorial: 6
Client IP Address: 127.0.0.1, Port: 43530, Value: 2, Factorial: 2
Client IP Address: 127.0.0.1, Port: 43534, Value: 1, Factorial: 1
Client IP Address: 127.0.0.1, Port: 43522, Value: 6, Factorial: 720
Client IP Address: 127.0.0.1, Port: 43520, Value: 6, Factorial: 720
Client IP Address: 127.0.0.1, Port: 43524, Value: 6, Factorial: 720
Client IP Address: 127.0.0.1, Port: 43526, Value: 5, Factorial: 120
Client IP Address: 127.0.0.1, Port: 43528, Value: 4, Factorial: 24
Client IP Address: 127.0.0.1, Port: 43530, Value: 3, Factorial: 6
Client IP Address: 127.0.0.1, Port: 43532, Value: 2, Factorial: 2
